id,X,y
37,"['How', 'long', 'has', 'it', 'been', 'since', 'you', 'reviewed', 'the', 'objectives', 'of', 'your', 'benefit', 'and', 'service', 'program', '?']","['How', ['long%3:00:02::'], 'has', 'it', ['be%2:42:03::'], 'since', 'you', ['review%2:31:00::'], 'the', ['objective%1:09:00::'], 'of', 'your', ['benefit%1:21:00::'], 'and', ['service%1:04:07::'], ['program%1:09:01::'], '?']"
93,"['Have', 'you', 'permitted', 'it', 'to', 'become', 'a', 'giveaway', 'program', 'rather', 'than', 'one', 'that', 'has', 'the', 'goal', 'of', 'improved', 'employee', 'morale', 'and', ',', 'consequently', ',', 'increased', 'productivity', '?']","['Have', 'you', ['permit%2:41:00::'], 'it', 'to', ['become%2:42:01::'], 'a', ['giveaway%1:21:00::'], ['program%1:09:01::'], ['rather%4:02:02::'], 'than', 'one', 'that', ['have%2:42:00::'], 'the', ['goal%1:09:00::'], 'of', ['improved%3:00:00::'], ['employee%1:18:00::'], ['morale%1:26:00::'], 'and', ',', ['consequently%4:02:00::'], ',', ['increased%3:00:00::'], ['productivity%1:07:00::'], '?']"
119,"['What', 'effort', 'do', 'you', 'make', 'to', 'assess', 'results', 'of', 'your', 'program', '?']","['What', ['effort%1:04:00::'], 'do', 'you', ['make%2:41:00::'], 'to', ['assess%2:31:00::'], ['result%1:11:00::'], 'of', 'your', ['program%1:09:01::'], '?']"
167,"['Do', 'you', 'measure', 'its', 'relation', 'to', 'reduced', 'absenteeism', ',', 'turnover', ',', 'accidents', ',', 'and', 'grievances', ',', 'and', 'to', 'improved', 'quality', 'and', 'output', '?']","['Do', 'you', ['measure%2:31:01::'], 'its', 'relation', 'to', ['reduced%3:00:04::'], ['absenteeism%1:04:00::'], ',', ['turnover%1:24:00::'], ',', ['accident%1:11:01::'], ',', 'and', ['grievance%1:10:01::'], ',', 'and', 'to', ['improved%5:00:00:better:00'], ['quality%1:07:00::'], 'and', ['output%1:04:00::'], '?']"
189,"['Have', 'you', 'set', 'specific', 'objectives', 'for', 'your', 'employee', 'publication', '?']","['Have', 'you', ['set%2:32:00::'], ['specific%3:00:00::'], ['objective%1:09:00::'], 'for', 'your', ['employee%1:18:00::'], ['publication%1:10:00::'], '?']"
203,"['Is', 'it', 'reaching', 'these', 'goals', '?']","['Is', 'it', ['reach%2:38:06::'], 'these', ['goal%1:09:00::'], '?']"
225,"['Is', 'it', 'larger', 'or', 'fancier', 'than', 'you', 'really', 'need', '?']","[['be%2:42:03::'], 'it', ['larger%5:00:00:large:00'], 'or', ['fancy%3:00:00::'], 'than', 'you', ['really%4:02:03::'], ['need%2:34:00::'], '?']"
253,"['Are', 'you', 'using', 'the', 'most', 'economical', 'printing', 'methods', ',', 'paper', ',', 'etc.', '.']","['Are', 'you', ['use%2:34:01::'], 'the', ['most%4:02:00::'], ['economical%5:00:00:efficient:00'], ['printing%1:04:00::'], ['method%1:09:00::'], ',', ['paper%1:27:00::'], ',', 'etc.', '.']"
279,"['Are', 'there', 'other', ',', 'cheaper', 'communications', 'techniques', 'that', 'could', 'be', 'substituted', '?']","[['be%2:42:00::'], 'there', ['other%3:00:00::'], ',', ['cheap%3:00:00::'], ['communication%1:10:01::'], ['technique%1:09:00::'], 'that', 'could', 'be', ['substitute%2:40:00::'], '?']"
319,"['Has', 'your', 'attitude', 'toward', 'employee', 'benefits', 'encouraged', 'an', 'excess', 'of', 'free', '``', 'government', ""''"", 'work', 'in', 'your', 'plant', '?']","['Has', 'your', ['attitude%1:09:00::'], 'toward', ['employee%1:18:00::'], ['benefit%1:21:00::'], ['encourage%2:41:00::'], 'an', ['excess%1:07:02::'], 'of', ['free%5:00:00:unpaid:00'], '``', ['government%1:14:00::'], ""''"", ['work%1:04:00::'], 'in', 'your', ['plant%1:06:01::'], '?']"
